strategy,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,turnover,transaction_costs,hit_rate,profit_factor,average_holding_period_days,round_trips
momentum,-0.025428172874018995,0.10126796587768516,-0.2036114358503095,-0.27626905978535665,-0.3352317448108514,-0.07585252073417569,10.538151990194917,68531.47536857793,0.5264595425059747,0.8783482563164539,68.97678388528509,5858
mean_reversion,-0.040120043541276074,0.17965354215310184,-0.13819519435558134,-0.1942450266045241,-0.5200696872851585,-0.07714359156502411,33.18440864925782,169607.47775074735,0.37639082058414464,0.8623592275142821,11.582232267037552,5752
pairs,0.0007024291127797344,0.004937094045482414,0.14469305732331983,0.21679741448014228,-0.013005873750824182,0.0540086061296129,0.5213523952235463,3675.3811307691817,0.47058823529411764,1.1363059121542876,8.176470588235293,34
