strategy,total_cost_bps,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,turnover,transaction_costs,hit_rate,profit_factor,average_holding_period_days,round_trips
momentum,0.0,-0.0191688421129514,0.1011768505786838,-0.1404208968593322,-0.1908742871684869,-0.3101806468095463,-0.0617982100537779,10.542492410575788,0.0,0.5401197604790419,0.9183574537177212,68.98956372968348,5845
momentum,0.5,-0.0202045310372692,0.1011929621355803,-0.1509783025486765,-0.2053091501445136,-0.3136094966621175,-0.0644259493542254,10.542283825728569,11771.1403429067,0.5370433595083644,0.9119762071866684,68.97985660635029,5858
momentum,1.0,-0.0212524783827467,0.1012098503913186,-0.1615359164018488,-0.2195042480428411,-0.3169310746403977,-0.0670569328683848,10.541448752438102,23400.5358968122,0.535984977808126,0.9056266896337613,68.97780863840866,5858
momentum,2.0,-0.0233271816477097,0.1012505098913632,-0.1826280920090797,-0.2479374316330062,-0.325885955608259,-0.0715796374414139,10.539833779194107,46239.8400462517,0.5319218156369443,0.8930115292908364,68.97780863840866,5858
momentum,5.0,-0.0295814662739862,0.101336284983385,-0.2457495242435175,-0.3327697824950195,-0.3535038844515588,-0.0836807999183096,10.534745787892334,111525.8331768503,0.5215986394557823,0.8561935357342534,69.01751700680272,5880
mean_reversion,0.0,-0.0209448928089319,0.1795028397812899,-0.0281899168889449,-0.039790038001769,-0.4525029511514429,-0.0462867402101584,33.18133781561568,0.0,0.39160467587659226,0.9464285160950155,11.651434998228835,5646
mean_reversion,0.5,-0.0241840272306686,0.1795554761426035,-0.046739077973622,-0.0658253471466187,-0.4644604620681791,-0.052069628378652,33.18134303006038,30909.6694295484,0.3891250442781642,0.9325330654211957,11.650372206872122,5646
mean_reversion,1.0,-0.0273703681814595,0.1795848749040094,-0.0649447544180257,-0.0914747247401153,-0.4760093964157132,-0.0574996381072877,33.18228586650556,60718.3298590961,0.384925504820333,0.9190491071238341,11.614198071866783,5705
mean_reversion,2.0,-0.0337188098131926,0.1796347827078334,-0.1014105507807587,-0.1427194964984136,-0.498542511188825,-0.0676347658265676,33.183534684342746,117156.636827679,0.38220901782593496,0.8922115087240381,11.585634393568682,5722
mean_reversion,5.0,-0.0528031231064116,0.1795291473140584,-0.2123630792558768,-0.2974592635127858,-0.5605131904732012,-0.0942050419814439,33.189112697839495,263754.735765163,0.36649395509499136,0.8154389617262382,11.57979274611399,5790
pairs,0.0,0.0010113912594594,0.0048163096319346,0.2099678424080354,0.3192862386756292,-0.0121976681295022,0.0829167686470302,0.5212914306541822,0.0,0.47058823529411764,1.2438504897114148,8.176470588235293,34
pairs,0.5,0.0009611788834862,0.004832464620802,0.1991166874434603,0.3019962334875252,-0.0122855955966912,0.0782366936162306,0.5212987707964218,613.3438551280185,0.47058823529411764,1.226407283891107,8.176470588235293,34
pairs,1.0,0.0009109721256307,0.0048486373067905,0.1882143875895453,0.2847530550247397,-0.0123734525765184,0.0736232829321825,0.5213061107311092,1226.3754913745646,0.47058823529411764,1.2091447392749438,8.176470588235293,34
pairs,2.0,0.0008105804592328,0.0048810382988732,0.1663611466637287,0.2506375296198374,-0.0125511587450597,0.0645817510609043,0.5213207922387093,2451.502243866286,0.47058823529411764,1.175391474694619,8.176470588235293,34
pairs,5.0,0.0005092982797474,0.0049785001893501,0.1016837278898997,0.1506917646094435,-0.0137748531262362,0.0369717780689754,0.5213648400038895,6119.399535911933,0.47058823529411764,1.0803379551571113,8.176470588235293,34
