strategy,windows,mean_annualized_return,median_annualized_return,positive_windows,mean_sharpe,median_sharpe,worst_max_drawdown
mean_reversion,21,-0.014869593094383796,-0.0792207788224692,8,-0.12294890872942478,-0.5729285842821357,-0.3445373319703424
momentum,21,-0.003102078786440344,-0.0228604028150753,9,-0.4035863960696763,-0.3989264686217302,-0.1385309544274887
pairs,21,0.0021975578497179524,0.0,5,0.7617906428196669,1.4282081505483646,-0.0062566103431628
